place_id,head_image,user_name,content,user_rating,create_time
24654629,https://ak-d.tripcdn.com/images/Z80w15000000xdar11379.jpg,M32***23,The primary library is a local library of a more popular community nature. It is large in scale and has perfect infrastructure. The local people like it better. There are bicycle sheds nearby. It has a special atmosphere of life.,5.0,2019-10-14 15:14:42
24654629,https://ak-d.tripcdn.com/images/Z80s050000000drnw5ECC.jpg,分享韩国_gongu,"The Primary Reading Library is located at the former site of the University of Gyeonggi in Beicun, Zhonglu District, Seoul. It opened in January 1977 and has a collection of 490,000 books and 16,300 non-book materials. The Seoul Education Archive contains 12,000 Uge Education materials, which is the Seoul Municipal Public Library. The Reading Library provides recent intelligence to Seoul citizens and is committed to helping them learn, achieve cultural development and lifelong education. In addition to borrowing books and materials, writers are invited to lecture every month, and there are also frequent photography exhibitions, reading clubs, puppet dramas, concerts, dance performances and other rich cultural activities.",5.0,2016-07-18 17:35:45
24654629,https://ak-d.tripcdn.com/images/0a23u2215d6eqjavkDDD9.jpg,민녕2,Jeongdok Library becomes a cherry blossom spot in Seoul in spring! Good for a walk in a quiet atmosphere,5.0,2023-03-29 11:43:24
24654629,https://ak-d.tripcdn.com/images/0a23k22348xkozt6832E6.jpg,수빔,There are many books and the parks and promenades in front are good 😀,4.0,2022-08-30 23:03:56
24654629,https://ak-d.tripcdn.com/images/1i54d12000dex2bvn9345.jpg,M32***83,"The collection is very rich, the reading environment is good, suitable for sitting down and reading slowly.",5.0,2022-01-13 02:54:44
24654629,https://ak-d.tripcdn.com/images/Z80g0z000000mp6870B68.jpg,Bolton1984,"There are still many books and literature in it, but I can&#39;t understand it.",5.0,2018-01-19 15:41:50
24654629,https://ak-d.tripcdn.com/images/fd/headphoto/g1/M07/9C/F7/CghzfVSWctSAVNv-AABdZOtXPuw848.jpg,doridoris啦啦啦,"The library environment is very good, often play in the past, very good",5.0,2017-05-20 09:11:52
24654629,https://ak-d.tripcdn.com/images/fd/headphoto/g1/M07/9C/F7/CghzfVSWctSAVNv-AABdZOtXPuw848.jpg,doridoris啦啦啦,The library in downtown Seoul...many people regardless of age,5.0,2017-04-15 11:11:53
24654629,https://ak-d.tripcdn.com/images/1i50112000dex2eb2B282.jpg,139***68,"The library features are very good, like it here",5.0,2018-01-19 17:55:23
24654629,https://ak-d.tripcdn.com/images/Z8020l000000df2wiC9F8.jpg,288***46,"If you don&#39;t have time, you can skip it here. Although there are many libraries, it can&#39;t compare with the national libraries in China.",4.0,2017-03-03 08:37:59
24654629,https://ak-d.tripcdn.com/images/Z804180000015365869F7.jpg,不如没有好,"Very ordinary, the decoration in a library is quite good.",3.0,2017-12-21 12:50:26
24654629,https://ak-d.tripcdn.com/images/0a25j224x8trx43cg0AE9.jpg,나튜나,"It&#39;s a good place to take a short walk on the way to Samcheong-dong, Bukchon.",5.0,2024-01-17 09:51:10
99592717,https://ak-d.tripcdn.com/images/0a25s22159vpyjda818C5.jpg,헬레니,This is a place in Korea!! It&#39;s the best place to have a picnic :),5.0,2023-06-04 10:46:30
99592717,https://ak-d.tripcdn.com/images/0a25s22159vpyjda818C5.jpg,헬레니,It&#39;s really the best place to have a picnic :),5.0,2023-06-04 10:44:23
99592717,https://ak-d.tripcdn.com/images/0a21e2224r3fllgi8C51D.jpg,스윗빈,"It&#39;s great to go on a picnic. There are a lot of people, but when the weather is nice, it&#39;s also a good place for family or couple dates.",4.0,2022-09-04 13:45:07
99592717,https://ak-d.tripcdn.com/images/0a25q2224s2yksr8wEB53.jpg,믹네임,There is a small pond and the view of the willow tree and the castle is wonderful.,5.0,2023-09-11 00:47:23
20905807,https://ak-d.tripcdn.com/images/Z80412000000s9tge1BDB.jpg,coo***an,"The Mengcun History Museum occupies a small area. There is a dynamic interactive round sand plate of the Mengcun Tucheng Cultural Relics Group in the middle of the hall. After bypassing the round sand plate, the left hand side is in turn the Fengna Tucheng Cultural Relics Area, the Ancient Life Cultural Relics Area, the brick and tiles of the Three Kingdoms Period, the cultural relics experience platform, Seoul&#39;s Koguryo culture and Seoul&#39;s Silla culture are opposite the Baiji later cultural exhibition area and the ancient East Asian cultural exchange exhibition area, and will eventually return to the door.",5.0,2019-10-12 00:41:55
20905807,https://ak-d.tripcdn.com/images/1i50112000dex2eb2B282.jpg,coldwar,"The Prison History Memorial Hall is a monument to Korean history that historically records the past 100 years of Korean history - which is why visitors to Seoul must go to that place. By visiting it, everyone can understand part of South Korea&#39;s history and the incredible power of the Korean people to stand up for themselves.",4.0,2017-11-20 14:34:01
20905807,https://ak-d.tripcdn.com/images/1i54d12000dex2bvn9345.jpg,M32***83,"The Dream Village History Museum displays a lot of precious historical materials, as well as some old photos.",5.0,2022-01-07 01:31:58
20905807,https://ak-d.tripcdn.com/images/1i50112000dex2eb2B282.jpg,doudourw,"Inside the Olympic Park, not very big, there are some historical relics to display and model restoration.",5.0,2017-08-30 11:36:22
20905807,https://ak-d.tripcdn.com/images/1i52g12000dex1hwn04E3.jpg,艾李李,"The Dream Village History Museum is near the Olympic Park in Seoul. The historical display area here is an ancient culture. Many large artworks have been history for decades and hundreds of years, and the paintings have been yellow.",4.0,2016-01-23 10:21:26
20905807,https://ak-d.tripcdn.com/images/1i55a12000dex2inkB7FE.jpg,a155323339,"This history museum is the best history museum I have seen in Seoul. The literature included in it is very complete, very systematic, and the preservation is intact. It is really moving?",4.0,2016-02-03 00:31:12
20905807,https://ak-d.tripcdn.com/images/1i54d12000dex2bvn9345.jpg,M16***65,"Full of fun, the price is super high, the popularity is good",5.0,2017-10-06 02:15:10
20905807,https://ak-d.tripcdn.com/images/0Z80x12000ahwo5unFFD4.jpg,^_^小妞,Historical view of downtown Seoul. You can come and see,5.0,2017-09-14 12:11:07
20905807,https://ak-d.tripcdn.com/images/t1/headphoto/651/990/790/2d73b27832da408db2862d937a468fbf.jpg,E35***63,"Very historical place, rich historical materials, but unfortunately I can&#39;t understand, you can see the pictures and real objects on display",4.0,2016-04-27 14:55:28
20905807,https://ak-d.tripcdn.com/images/fd/headphoto/g4/M08/8E/C9/CggYHlXO_NGAKjR8AAocnvL2PTc164.jpg,星野弥生,"The Dream Village History Museum is an ancient site located on the outskirts of Seoul, South Korea. There are many ancient tombs. Those who are not interested in history can be ignored. I personally feel that it is very general.",3.0,2015-07-28 23:51:29
